Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2428;P;Por;Sommer;Inter;25;6,1;5,72;0;12;1;0;0;0;0;1;0;0
5876;P;Por;Di Gregorio;Monza;23;6,39;5,78;0;17;1;0;0;0;0;0;0;0
4431;P;Por;Carnesecchi;Atalanta;16;6,28;5,66;0;16;2;0;0;0;0;0;0;0
453;P;Por;Szczesny;Juventus;24;6,19;5,44;0;18;0;0;0;0;0;0;0;0
2815;P;Por;Terracciano;Fiorentina;24;6,31;5,38;0;24;1;0;0;0;0;3;0;0
133;P;Por;Skorupski;Bologna;23;6,17;5,3;0;22;1;0;0;0;0;2;0;0
2814;P;Por;Provedel;Lazio;26;6,21;5,13;0;28;0;0;0;0;0;0;0;0
4360;P;Por;Caprile;Empoli;11;6,27;5,36;0;13;1;0;0;0;0;0;0;0
572;P;Por;Meret;Napoli;19;6,05;5,05;0;22;1;0;0;0;0;0;0;0
2170;P;Por;Milinkovic-Savic V.;Torino;25;6,06;5,1;0;23;0;0;0;0;0;2;0;0
5116;P;Por;Martinez Jo.;Genoa;25;6,18;5,06;0;29;1;0;0;0;0;2;1;0
4957;P;Por;Montipo';Verona;26;6,25;4,87;0;36;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Lecce;26;6,25;4,71;0;43;1;0;0;0;0;0;0;0
4270;P;Por;Rui Patricio;Roma;23;5,98;4,78;0;27;0;0;0;0;0;1;0;0
4312;P;Por;Maignan;Milan;23;6,02;4,7;0;30;0;0;0;0;1;1;1;0
6462;P;Por;Okoye;Udinese;9;6,17;4,83;0;12;0;0;0;0;0;0;0;0
509;P;Por;Consigli;Sassuolo;24;6,17;4,27;0;48;1;0;0;0;0;1;0;0
610;P;Por;Gollini;Napoli;7;6;4,86;0;8;0;0;0;0;0;0;0;0
574;P;Por;Scuffet;Cagliari;19;6,16;4,29;0;35;0;0;0;0;0;1;0;0
2792;P;Por;Musso;Atalanta;10;6,1;4,9;0;12;0;0;0;0;0;0;0;0
316;P;Por;Berisha;Empoli;14;6,11;4,54;0;25;1;0;0;0;0;0;0;0
6120;P;Por;Ochoa;Salernitana;18;6,28;4,22;0;37;0;0;0;0;0;0;0;0
2722;P;Por;Ravaglia F.;Bologna;3;6;5,67;0;1;0;0;0;0;0;0;0;0
4867;P;Por;Turati;Frosinone;24;6,1;4,1;0;51;1;0;0;0;0;0;0;0
5841;P;Por;Svilar;Roma;3;6,5;4,83;0;5;0;0;0;0;0;0;0;0
2211;P;Por;Silvestri;Udinese;17;5,82;4,18;0;28;0;0;0;0;0;0;0;0
2338;P;Por;Costil;Salernitana;8;6,38;4,38;0;16;0;0;0;0;0;0;0;0
761;P;Por;Audero;Inter;1;6;6;0;0;0;0;0;0;0;0;0;0
